experiment,user_id,user_name,algorithm,found_solution,runtime_ms,constraint_satisfaction_rate,calorie_error,protein_error,diversity_score,preference_score,balance_score,total_calories,total_protein,success,beam_width,strictness,num_allergens,diet_type,dataset_size
beam_width_ablation,6,Lisa,,True,1.5339851379394531,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,5.0,,,,
beam_width_ablation,7,Tom,,True,2.0220279693603516,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,5.0,,,,
beam_width_ablation,8,Rachel,,True,1.4047622680664062,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,5.0,,,,
beam_width_ablation,9,Chris,,True,1.5072822570800781,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,5.0,,,,
beam_width_ablation,10,Nina,,True,2.9218196868896484,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,5.0,,,,
beam_width_ablation,1,Alex,,True,2.5436878204345703,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,10.0,,,,
beam_width_ablation,2,Sarah,,True,0.8907318115234375,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,10.0,,,,
beam_width_ablation,3,Mike,,True,0.7131099700927734,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,10.0,,,,
beam_width_ablation,4,Emma,,True,1.447916030883789,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,10.0,,,,
beam_width_ablation,5,David,,True,1.4896392822265625,100.0,5.0,0.0,33.69230769230769,33.33333333333333,84.57854406130268,1705.0,126.0,False,10.0,,,,
beam_width_ablation,6,Lisa,,True,1.558542251586914,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,10.0,,,,
beam_width_ablation,7,Tom,,True,1.9390583038330078,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,10.0,,,,
beam_width_ablation,8,Rachel,,True,1.3573169708251953,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,10.0,,,,
beam_width_ablation,9,Chris,,True,1.2235641479492188,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,10.0,,,,
beam_width_ablation,10,Nina,,True,1.3682842254638672,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,10.0,,,,
beam_width_ablation,1,Alex,,True,1.1639595031738281,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,15.0,,,,
beam_width_ablation,2,Sarah,,True,0.47969818115234375,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,15.0,,,,
beam_width_ablation,3,Mike,,True,0.396728515625,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,15.0,,,,
